SL NO,Hotel_name,Location,Price,Discount,Total Rating,Rating(out of 5),Hotel ID,Booking ID,Booking Status,Payment Mode (online/offline),No of Guest,check in time,check in status,Total Price,Customer ID,Review,URL
183,OYO Blue Diamond Near Jahangirpuri Metro Station,"Opp. Metro Pillar No. 102, Near Sai Baba Mandir, Adarsh Nagar, Delhi",921,67%,864,3,87571,XYZ4483,confirmed,online,2,3:00pm,completed,5000,CUST1344,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/87571
184,Flagship Hotel Diamond Tree,"New Delhi, Delhi",1252,65%,848,4,104243,XYZ4484,confirmed,online,2,12:00pm,completed,5000,CUST1122,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/104243
185,OYO The Chill Palace Near Haiderpur Metro Station,"North West Delhi, Delhi",1552,67%,4273,5,200731,XYZ4485,confirmed,online,2,4:00pm,completed,5000,CUST1455,"Great stay, very clean and comfortable.",https://www.oyorooms.com/200731
186,Flagship The Mayur Hotel ,"Tri Nagar, Delhi",1441,67%,170,3,205473,XYZ4486,confirmed,online,2,12:55pm,completed,3450,CUST1342,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/205473
187,OYO Hotel Landmark Inn,Near Karol Bagh Metro Station,576,67%,249,4,104254,XYZ4487,confirmed,online,2,12:00pm,completed,3500,CUST1019,Would definitely recommend to others.,https://www.oyorooms.com/104254
188,Flagship Hotel Happy Moments,"Near Divine Hospital, Delhi",759,67%,735,5,113753,XYZ4488,confirmed,online,2,7:00pm,completed,3500,CUST1179,"Great stay, very clean and comfortable.",https://www.oyorooms.com/113753
189,Collection O Radisson Blue Hotel Nearby Khajuri chowk-Signature Bridge,"Bhajanpura, Delhi",643,69%,427,4,182602,XYZ4489,confirmed,online,2,7:56pm,completed,3500,CUST1055,Would definitely recommend to others.,https://www.oyorooms.com/182602
190,Flagship Kashish Residency Near Model Town Metro Station,"Ashok Vihar-3, Delhi",1048,67%,180,1,191906,XYZ4490,confirmed,online,2,12:00pm,completed,4500,CUST1291,Very affordable with good facilities.,https://www.oyorooms.com/191906
191,OYO Flagship 812491 Hotel Siddhartha Guest House,"Seelampur, Delhi",811,68%,75,4,197997,XYZ4491,confirmed,online,2,12:00pm,completed,4500,CUST1020,Excellent location and friendly staff.,https://www.oyorooms.com/197997
192,OYO Hotel New Tech India,"Near Jhandewalan, Nai Walan, Delhi",845,67%,23,4,207666,XYZ4492,confirmed,online,2,12:00pm,completed,4500,CUST1134,Very affordable with good facilities.,https://www.oyorooms.com/207666
193,Flagship Sr Residency Near CCD,"Block B, Delhi",549,69%,49,4,209422,XYZ4493,confirmed,online,4,12:00pm,completed,4500,CUST1265,Very affordable with good facilities.,https://www.oyorooms.com/209422
194,OYO Home Hotel New Singh Near Adarsh Nagar Metro Station,"Near Metro Pillar No 103, Delhi",899,77%,342,4,55867,XYZ4494,confirmed,online,3,4:00pm,completed,3000,CUST1027,Check-in process was slow and frustrating.,https://www.oyorooms.com/55867
195,OYO 81212 White House Residency Near Haiderpur Metro Station,"108,Street Number 3, Shalimar Bagh Village, New Delhi",839,67%,168,4,211820,XYZ4495,confirmed,online,2,1:00pm,completed,2500,CUST1459,Excellent location and friendly staff.,https://www.oyorooms.com/211820
196,OYO Flagship 810701 Mayura Residency,"Maharam Mohalla, Delhi",966,67%,2171,5,108306,XYZ4496,confirmed,online,1,12:00pm,completed,2500,CUST1043,Excellent location and friendly staff.,https://www.oyorooms.com/108306
197,OYO Townhouse 816 The Diamond Tree Near Dilshad Garden Metro Station,D-75 near dilshad garden metro station,576,73%,1289,5,111691,XYZ4497,confirmed,online,1,4:50pm,completed,3500,CUST1199,"Poor service, not worth the price.",https://www.oyorooms.com/111691
198,OYO Hotel Prince Near Haiderpur Metro Station,"Haiderpur Village, Delhi",666,67%,769,5,172969,XYZ4498,confirmed,online,1,12:00pm,completed,4000,CUST1493,Very affordable with good facilities.,https://www.oyorooms.com/172969
199,Flagship Hotel Grow More Near Shiv Mandir,"East Babarpur, Delhi",951,67%,610,3,189660,XYZ4499,confirmed,online,1,12:00pm,completed,3000,CUST1198,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/189660
200,Super OYO Townhouse 057 Gujranwala Town Near Azadpur Metro Station,"Tehsil, Delhi",996,67%,545,3,190513,XYZ4500,confirmed,online,1,5:00pm,completed,5000,CUST1441,Very affordable with good facilities.,https://www.oyorooms.com/190513
201,OYO Hotel J Joy,"MAIN FAIZ ROAD  Above SBI BANK), KAROL BAGH",1321,70%,1807,3,194985,XYZ4501,confirmed,online,1,4:30pm,completed,4500,CUST1433,Room was not clean upon arrival.,https://www.oyorooms.com/194985
202,OYO Hotel Sun City Near Gurudwara Shri Bangla Sahib,"Near Karol Bagh, Channa Market, Delhi",799,73%,103,4,210556,XYZ4502,confirmed,online,1,12:30pm,completed,4520,CUST1229,Excellent location and friendly staff.,https://www.oyorooms.com/210556
203,OYO Sushma Ssadan,"Sawan Park Ashok Vihar Phase 3 Model Town Tehsil, Delhi",1384,67%,15,4,212411,XYZ4503,confirmed,online,1,12:00pm,completed,4000,CUST1443,Very affordable with good facilities.,https://www.oyorooms.com/212411
204,OYO Flagship 2064 Hotel The Spot,"New Delhi, Delhi",599,66%,118,3,44951,XYZ4504,confirmed,online,1,12:00pm,completed,2500,CUST1028,Room was not clean upon arrival.,https://www.oyorooms.com/44951
205,OYO Hotel City Castle,"Near Karol Bagh, Nai Walan, Delhi",916,67%,17,3,84971,XYZ4505,confirmed,online,1,12:00pm,completed,4500,CUST1183,Would definitely recommend to others.,https://www.oyorooms.com/84971
206,Flagship Hotel S Inn,"Paharganj New Delhi, Delhi",575,72%,11,1,88962,XYZ4506,confirmed,online,1,12:00pm,completed,2500,CUST1179,Excellent location and friendly staff.,https://www.oyorooms.com/88962
207,OYO Flagship 81012 S P Rooms,"Mahendra Park, Delhi",1768,65%,148,2,115532,XYZ4507,confirmed,online,1,12:55pm,completed,4250,CUST1067,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/115532
208,OYO Kochar Plaza Near Satyam Inox Patel Nagar,"Near Liberty Cinema, New Rohtak Rd, Delhi",1084,67%,43,3,204435,XYZ4508,confirmed,online,1,12:30pm,completed,2500,CUST1405,Room was not clean upon arrival.,https://www.oyorooms.com/204435
209,OYO Flagship 810341 Hotel Royal Plaza,"wz 523/1 bali nagar extension, Delhi",1794,65%,7,5,205865,XYZ4509,confirmed,online,1,12:00pm,completed,3000,CUST1331,Excellent location and friendly staff.,https://www.oyorooms.com/205865
210,Collection O 811864 Hotel Aura Stay,"Paharganj, Delhi",776,67%,62,2,208390,XYZ4510,confirmed,online,1,12:00pm,completed,4000,CUST1044,Excellent location and friendly staff.,https://www.oyorooms.com/208390
211,Flagship Hotel Happiness Inn Near Tdi Mall,"Karampura, Delhi",1236,67%,4,3,209165,XYZ4511,confirmed,online,1,3:00pm,completed,5000,CUST1113,Check-in process was slow and frustrating.,https://www.oyorooms.com/209165
212,OYO Flagship 810642 Hotel KD Homes,"wazirabad near book shop opposite mohalla clinic Delhi, Delhi",1115,67%,36,2,209515,XYZ4512,confirmed,online,1,1:30pm,completed,3000,CUST1471,"Average experience, nothing special.",https://www.oyorooms.com/209515
213,OYO Ms Residency,"Near to Aarash nagar metro station pillar no:-104, Delhi",1490,67%,65,5,209746,XYZ4513,confirmed,online,1,1:30pm,completed,2000,CUST1347,"Average experience, nothing special.",https://www.oyorooms.com/209746
214,OYO Flagship 35359 Hotel Victoria Dx,"Near New Delhi Railway Station, Delhi",851,67%,17,4,210076,XYZ4514,confirmed,online,1,12:00pm,completed,2000,CUST1188,Would definitely recommend to others.,https://www.oyorooms.com/210076
215,OYO 811030 Ocean Guest House,"Brij Puri, Delhi",1156,67%,28,3,210837,XYZ4515,confirmed,online,1,12:00pm,completed,4000,CUST1278,"Great stay, very clean and comfortable.",https://www.oyorooms.com/210837
216,OYO Flagship 81042 Step Inn International,"Delhinull, Delhi",1152,67%,2,4,211689,XYZ4516,confirmed,online,1,12:00pm,completed,3000,CUST1235,Excellent location and friendly staff.,https://www.oyorooms.com/211689
217,Flagship Hotel Sun Shine,"Shakarpur Main Market, Delhi",1005,67%,913,5,212077,XYZ4517,confirmed,online,1,9:00pm,completed,5000,CUST1245,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/212077
218,OYO Flagship 811700 Hotel Iconiic Residency Inn,"Old Rajendra Nagar delhinull, Delhi",1156,67%,325,4,212268,XYZ4518,confirmed,online,1,4:00pm,completed,6500,CUST1141,"Poor service, not worth the price.",https://www.oyorooms.com/212268
219,OYO Flagship 811671 Hotel Swagat Dx,"New Delhi, Delhi",910,67%,310,3,213163,XYZ4519,confirmed,online,1,12:00pm,completed,6500,CUST1188,Check-in process was slow and frustrating.,https://www.oyorooms.com/213163
220,OYO 78699 Hotel Klick International,", Delhi",807,70%,28,5,213421,XYZ4520,confirmed,online,1,12:30pm,completed,5300,CUST1042,"Great stay, very clean and comfortable.",https://www.oyorooms.com/213421
221,Collection O Hotel Ambience Near Gurudwara Shri Bangla Sahib,"Near New Delhi Railway Station, Delhi",583,67%,197,4,213606,XYZ4521,confirmed,online,1,12:00pm,completed,5200,CUST1200,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/213606
222,OYO Hotel Delhi Delight Near Sarai Rohilla Railway station,"Near Sarai Rohilla Railway Station, Delhi",1996,64%,102,5,45120,XYZ4522,confirmed,online,1,12:00pm,completed,5000,CUST1223,Very affordable with good facilities.,https://www.oyorooms.com/45120
223,Flagship Hotel V K Stay,"Aarakashan Road  near Delhi Railway Station), Delhi",1360,65%,1036,3,45888,XYZ4523,confirmed,online,1,2:00pm,completed,5000,CUST1375,"Poor service, not worth the price.",https://www.oyorooms.com/45888
224,OYO Kl Khari Near Satyam Inox Patel Nagar,"Industrial Area, Delhi",899,69%,992,4,207407,XYZ4524,confirmed,online,1,12:00pm,completed,4000,CUST1455,"Great stay, very clean and comfortable.",https://www.oyorooms.com/207407
225,OYO Shoolin Residency Near M2k Cinemas Rohini,"Near M2k Cinema, Delhi",770,66%,3198,2,79186,XYZ4525,confirmed,online,1,12:00pm,completed,3000,CUST1355,Very affordable with good facilities.,https://www.oyorooms.com/79186
226,Flagship Dream Inn Near Akshardham,"Chander Vihar Near Aggarwal Sweets East Delhi, Delhi",651,71%,17,4,211044,XYZ4526,confirmed,online,1,2:00pm,completed,3000,CUST1384,Check-in process was slow and frustrating.,https://www.oyorooms.com/211044
227,OYO Townhouse 511 Prakash continental Near Netaji Subhash Place Metro Station,"Netaji Subash Palace, Delhi",1670,65%,651,3,100162,XYZ4527,confirmed,online,1,6:00pm,completed,3000,CUST1120,"Average experience, nothing special.",https://www.oyorooms.com/100162
228,OYO Hotel Sun Palace,"Karol Bagh, Delhi",1000,67%,787,2,100369,XYZ4528,confirmed,online,1,12:00pm,completed,5000,CUST1051,Room was not clean upon arrival.,https://www.oyorooms.com/100369
229,OYO Townhouse 118 Gagan Vihar Near V3S Mall,"Near RG Stone hospital , Hargobind Enclave, Delhi",1004,67%,10,4,101479,XYZ4529,confirmed,online,1,1:00pm,completed,5000,CUST1097,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/101479
230,OYO Flagship 80769 Seven Heaven ,"B-54 Lawrence Road Industrial Area Near Lawrence Road, Delhi",1670,65%,311,5,103354,XYZ4530,confirmed,online,1,2:00pm,completed,4200,CUST1347,Room was not clean upon arrival.,https://www.oyorooms.com/103354
231,Capital O Season Grand Near Pitampura metro station,Near Pitampura metro station,799,79%,560,3,103428,XYZ4531,confirmed,online,1,12:00pm,completed,4200,CUST1298,Excellent location and friendly staff.,https://www.oyorooms.com/103428
232,OYO 74596 Dream Town Near V3S Mall,"Shahdara, Delhi",1444,67%,389,4,103794,XYZ4532,confirmed,online,1,4:00pm,completed,3500,CUST1403,Check-in process was slow and frustrating.,https://www.oyorooms.com/103794
233,OYO Flagship 812357 Hotel Landmark Deluxe,"Karol Bagh, Delhi",2101,65%,18,2,103978,XYZ4533,confirmed,online,1,12:00pm,completed,3500,CUST1184,Check-in process was slow and frustrating.,https://www.oyorooms.com/103978
234,Flagship King Stay Near Tdi Mall,"Block N, Delhi",1414,67%,113,3,104120,XYZ4534,confirmed,online,1,12:00pm,completed,6400,CUST1040,"Average experience, nothing special.",https://www.oyorooms.com/104120
235,Flagship Hotel BR International,"Paharganj, Delhi",581,67%,31,4,104248,XYZ4535,confirmed,online,1,12:00pm,completed,3500,CUST1148,Very affordable with good facilities.,https://www.oyorooms.com/104248
236,OYO Hotel Bramhaputra,"Centrally Located, Near New Delhi Railway Station, Delhi",599,74%,171,5,104373,XYZ4536,confirmed,online,1,5:30pm,completed,3500,CUST1012,Room was not clean upon arrival.,https://www.oyorooms.com/104373
237,OYO Flagship 27928 Hotel Vintage ,"Near RK Ashram Metro station, Delhi",549,82%,235,4,104401,XYZ4537,confirmed,online,1,12:00pm,completed,3500,CUST1132,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/104401
238,Flagship Ram Bnb,"Faiz Road Karol Bagh New Delhi, Delhi",1029,67%,606,3,104480,XYZ4538,confirmed,online,1,4:30pm,completed,2500,CUST1428,"Great stay, very clean and comfortable.",https://www.oyorooms.com/104480
239,OYO Flagship 80289 Hotel Neha Inn Near Jama Masjid,"Paharganj  near Delhi Railway Station)null, Delhi",1628,65%,16,4,104516,XYZ4539,confirmed,online,1,1:00pm,completed,2500,CUST1239,Would definitely recommend to others.,https://www.oyorooms.com/104516
240,Flagship Hotel Cozzy Homes Stay Near Gurudwara Shri Bangla Sahib,"Raje Der Nagar, Delhi",770,66%,98,5,104869,XYZ4540,confirmed,online,1,9:00pm,completed,2500,CUST1290,"Great stay, very clean and comfortable.",https://www.oyorooms.com/104869
241,Flagship Rs Hotels Near M2k Cinemas Rohini,"Shiva Market, Delhi",910,67%,757,2,105043,XYZ4541,confirmed,online,1,12:00pm,completed,2500,CUST1397,Room was not clean upon arrival.,https://www.oyorooms.com/105043
242,OYO Townhouse 1130 262 Kailash Enclave Near M2K Cinemas Rohini,"Harsh Vihar, Delhi",576,67%,551,4,105222,XYZ4542,confirmed,offline,1,12:00pm,completed,3000,CUST1351,Very affordable with good facilities.,https://www.oyorooms.com/105222
243,OYO Flagship 66745 Le Orange,"8880-81, Gali Number 2, Multani Dhanda, Paharganj, New Delhi, Delhi - 110055",1345,65%,918,5,105514,XYZ4543,confirmed,online,1,12:00pm,completed,3000,CUST1279,"Average experience, nothing special.",https://www.oyorooms.com/105514
244,OYO Le Alfanso Near Jama Masjid,"Near New Delhi Railway Station, Delhi",599,74%,2,3,105727,XYZ4544,confirmed,online,1,12:30pm,completed,2500,CUST1028,"Great stay, very clean and comfortable.",https://www.oyorooms.com/105727
245,OYO Hotel Park View Near Adarsh Nagar Metro Station,"Near Adarsh nagar, Matmy Memar, Delhi",957,67%,1343,4,105777,XYZ4545,confirmed,online,1,9:40pm,completed,2400,CUST1312,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/105777
246,Flagship Green High Near Laxmi Nagar Metro Station,"NEAR FRUIT POWER, Laxmi Nagar Metro Station, Delhi",839,67%,29,5,105911,XYZ4546,confirmed,online,1,12:44pm,completed,3540,CUST1256,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/105911
247,OYO Townhouse 286 Near Kohat Enclave Metro Station ,"Near Pitampura Metro Station, Delhi",744,68%,82,2,106027,XYZ4547,confirmed,online,1,12:44pm,completed,3540,CUST1245,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/106027
248,OYO Flagship 69760 Hotel Anchal Deluxe,"Near New Delhi Railway Station, Delhi",731,70%,722,5,106029,XYZ4548,confirmed,offline,1,5:54pm,completed,3540,CUST1188,Room was not clean upon arrival.,https://www.oyorooms.com/106029
249,Collection O Ramji 7 Grand Near Tdi Mall,"Near Kirti Nagar Metro Station, Delhi",852,69%,1020,3,106047,XYZ4549,confirmed,offline,1,12:44pm,completed,3540,CUST1428,Very affordable with good facilities.,https://www.oyorooms.com/106047
250,Collection O Metro View Ashok Vihar Near Shalimar Bagh Metro Station,"Pocket C 1, Delhi",1481,65%,82,4,106061,XYZ4550,confirmed,online,1,4:00pm,completed,4000,CUST1243,"Great stay, very clean and comfortable.",https://www.oyorooms.com/106061
251,OYO Flagship 81569 The Red Rose Inn,"India, Delhi",677,75%,856,3,106081,XYZ4551,confirmed,online,1,3:00pm,completed,3500,CUST1480,Room was not clean upon arrival.,https://www.oyorooms.com/106081
252,OYO Hotel Grand Peepal,"Near Karol Bagh metro, WEA, Delhi",1005,67%,6,5,106085,XYZ4552,confirmed,online,1,12:00pm,completed,4000,CUST1367,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/106085
253,OYO Hotel J P Inn Near Satyam Inox Patel Nagar,"Near Patel Nagar Metro, Block 1, Delhi",1360,65%,80,5,106105,XYZ4553,confirmed,online,1,1:50pm,completed,2500,CUST1155,"Average experience, nothing special.",https://www.oyorooms.com/106105
254,OYO Flagship R K Residency Near Jhilmil Metro Station,"488/5a Mcd Primary School Dilshad Garden, Delhi",549,69%,319,5,106208,XYZ4554,confirmed,online,1,3:00pm,completed,2500,CUST1155,Very affordable with good facilities.,https://www.oyorooms.com/106208
255,Meet You There Shakarpur,"Shakarpur Laxmi Nagar Metro, Delhi",1767,65%,395,4,106267,XYZ4555,confirmed,online,1,12:00pm,completed,4500,CUST1123,Very affordable with good facilities.,https://www.oyorooms.com/106267
256,Hotel City Plaza,"Near Laxmi Nagar, Delhi",1360,65%,757,4,106291,XYZ4556,confirmed,online,1,12:44pm,completed,3540,CUST1137,Very affordable with good facilities.,https://www.oyorooms.com/106291
257,Flagship Hotel R.k Near Akshardham,"Near South Ganesh Nagar, Delhi",996,67%,31,4,106485,XYZ4557,confirmed,online,1,2:00pm,completed,5000,CUST1044,Room was not clean upon arrival.,https://www.oyorooms.com/106485
258,Collection O Hotel Green Palace Near V3S Mall,"H.no.-a3 Block A Jagat Puri Red Light Near Sbi Bank Jagat Puri East Delhi, Delhi",595,68%,15,4,106512,XYZ4558,confirmed,online,1,2:30pm,completed,5000,CUST1037,Excellent location and friendly staff.,https://www.oyorooms.com/106512
259,Super OYO 703579 Flagship Santosh Residency Near V3s Mall,"Vishwas Nagar, Delhi",1414,67%,166,3,106629,XYZ4559,confirmed,online,1,12:00pm,completed,4000,CUST1065,"Average experience, nothing special.",https://www.oyorooms.com/106629
260,OYO Hotel Park View Near Adarsh Nagar Metro Station,"Near Adarsh nagar, Matmy Memar, Delhi",1767,65%,6,3,106696,XYZ4560,confirmed,online,2,1:40pm,completed,4400,CUST1028,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/106696
261,OYO Flagship 80289 Hotel Neha Inn Near Jama Masjid,"Paharganj  near Delhi Railway Station)null, Delhi",731,70%,4,3,106791,XYZ4561,confirmed,online,2,4:55pm,completed,1250,CUST1480,Room was not clean upon arrival.,https://www.oyorooms.com/106791
262,OYO Flagship 81012 S P Rooms,"Mahendra Park, Delhi",1360,65%,4,3,106823,XYZ4562,confirmed,online,2,12:00pm,completed,4500,CUST1410,Would definitely recommend to others.,https://www.oyorooms.com/106823
263,OYO Hotel Crown Continental Near Sarai Rohilla Railway Station,"11005, Delhi",800,67%,53,2,106853,XYZ4563,confirmed,online,2,2:30pm,completed,3500,CUST1344,"Poor service, not worth the price.",https://www.oyorooms.com/106853
264,Hotel City Plaza,"Near Laxmi Nagar, Delhi",1257,65%,65,2,106969,XYZ4564,confirmed,online,2,6:00pm,completed,5400,CUST1085,"Poor service, not worth the price.",https://www.oyorooms.com/106969
265,Collection O 811248 Hotel Crystal Stay,"old Arjun Nagar, Delhi",1705,65%,38,2,107086,XYZ4565,confirmed,online,2,12:00pm,completed,5400,CUST1084,"Average experience, nothing special.",https://www.oyorooms.com/107086
266,OYO 811030 Ocean Guest House,"Brij Puri, Delhi",996,67%,262,2,107165,XYZ4566,confirmed,online,2,12:00pm,completed,5400,CUST1081,Excellent location and friendly staff.,https://www.oyorooms.com/107165
267,OYO 804648 Hotel SP Deluxe ,"Near Gurudwara Shri Bangla Sahib, New Delhi",1226,67%,864,4,107265,XYZ4567,confirmed,online,2,2:00pm,completed,4000,CUST1248,"Poor service, not worth the price.",https://www.oyorooms.com/107265
268,Flagship Hansa Residency Near Akshardham,"Laxmi Nagar, Delhi",852,69%,18,4,107359,XYZ4568,confirmed,online,2,12:00pm,completed,5000,CUST1172,Room was not clean upon arrival.,https://www.oyorooms.com/107359
269,Flagship Hotel Dp Palace Near Jama Masjid,"Delhi, Delhi",1449,59%,12,5,107405,XYZ4569,confirmed,offline,2,12:00pm,completed,3500,CUST1236,Excellent location and friendly staff.,https://www.oyorooms.com/107405
270,Flagship 18618 Ocean Blue Residency Near V3S Mall," A-14 Pridarshni Vihar Laxminagar, Delhi",1943,65%,5,5,107413,XYZ4570,confirmed,offline,2,12:00pm,completed,2400,CUST1478,Would definitely recommend to others.,https://www.oyorooms.com/107413
271,OYO The Chill Palace Near Haiderpur Metro Station,"North West Delhi, Delhi",1314,67%,141,3,107471,XYZ4571,confirmed,online,2,1:00pm,completed,3500,CUST1327,Room was not clean upon arrival.,https://www.oyorooms.com/107471
272,OYO Flagship 27928 Hotel Vintage ,"Near RK Ashram Metro station, Delhi",1481,65%,16,3,108058,XYZ4572,confirmed,online,2,12:00pm,completed,4500,CUST1342,Excellent location and friendly staff.,https://www.oyorooms.com/108058
273,OYO Flagship 805147 Hotel Sona International Near Gurudwara Shri Bangla Sahib,"Paharganj  near Delhi Railway Station)null, Delhi",1360,65%,33,4,108059,XYZ4573,confirmed,online,2,5:50pm,completed,4500,CUST1210,Would definitely recommend to others.,https://www.oyorooms.com/108059
274,OYO Flagship 811430 Hotel Mayur Inn,"B-3 Near DA BLOCK SHALIMAR VILLAGE, Delhi",1334,65%,3,4,108287,XYZ4574,confirmed,online,2,12:55pm,completed,3650,CUST1238,Very affordable with good facilities.,https://www.oyorooms.com/108287
275,OYO Hotel Emporio Near Jama Masjid,"Near Shela Cinema, DB Gupta Road, Delhi",989,64%,82,3,108453,XYZ4575,confirmed,online,2,5:00pm,completed,3500,CUST1404,Room was not clean upon arrival.,https://www.oyorooms.com/108453
276,OYO Flagship 66745 Le Orange,"8880-81, Gali Number 2, Multani Dhanda, Paharganj, New Delhi, Delhi - 110055",696,79%,141,5,108929,XYZ4576,confirmed,online,2,2:44pm,completed,3540,CUST1216,Very affordable with good facilities.,https://www.oyorooms.com/108929
277,Flagship Deva Guest House Near Johari Enclave Metro Station,"Ganga Enclave Delhi, Delhi",1360,65%,65,2,108954,XYZ4577,confirmed,online,2,6:00pm,completed,3500,CUST1053,Very affordable with good facilities.,https://www.oyorooms.com/108954
278,OYO Flagship 811181 Golden Key Inn,"plot no 341 Shalimar village opposite railway live, Delhi",2048,67%,12,4,109059,XYZ4578,confirmed,online,2,5:52pm,completed,3620,CUST1052,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/109059
279,OYO Flagship R K Residency Near Jhilmil Metro Station,"488/5a Mcd Primary School Dilshad Garden, Delhi",632,75%,22,1,109493,XYZ4579,confirmed,online,2,3:00pm,completed,3600,CUST1377,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/109493
280,OYO Hotel Emporio Near Jama Masjid,"Near Shela Cinema, DB Gupta Road, Delhi",909,67%,125,3,109544,XYZ4580,confirmed,online,2,12:00pm,completed,3600,CUST1256,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/109544
281,Flagship Hansa Residency Near Akshardham,"Laxmi Nagar, Delhi",2306,67%,33,5,109676,XYZ4581,confirmed,online,2,12:00pm,completed,3000,CUST1466,Room was not clean upon arrival.,https://www.oyorooms.com/109676
282,OYO Flagship 805147 Hotel Sona International Near Gurudwara Shri Bangla Sahib,"Paharganj  near Delhi Railway Station)null, Delhi",2190,70%,72,4,109727,XYZ4582,confirmed,online,2,5:00pm,completed,3000,CUST1321,Excellent location and friendly staff.,https://www.oyorooms.com/109727
283,OYO Flagship 83552 Anchal Guest House,"India, Delhi",2048,67%,38,2,109841,XYZ4583,confirmed,online,2,12:00pm,completed,3000,CUST1284,Would definitely recommend to others.,https://www.oyorooms.com/109841
284,Collection O 811806 Orange Saffron,"Shakurpurnull, Delhi",799,75%,132,3,110273,XYZ4584,confirmed,online,2,12:00pm,completed,4500,CUST1119,Excellent location and friendly staff.,https://www.oyorooms.com/110273
285,OYO Hotel Town ,Near Karol bagh metro station,1470,69%,191,5,110277,XYZ4585,confirmed,online,2,3:00pm,completed,4500,CUST1024,Room was not clean upon arrival.,https://www.oyorooms.com/110277
286,Flagship Deva Guest House Near Johari Enclave Metro Station,"Ganga Enclave Delhi, Delhi",576,80%,263,4,110292,XYZ4586,confirmed,online,2,2:22pm,completed,6520,CUST1056,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/110292
287,Flagship Hotel Hans Dx Near Jama Masjid,"Paharganj  near Delhi Railway Station), Delhi",1195,67%,262,3,110516,XYZ4587,confirmed,online,2,12:00pm,completed,5605,CUST1381,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/110516
288,Flagship Hotel Dp Palace Near Jama Masjid,"Delhi, Delhi",1130,67%,6,1,110650,XYZ4588,confirmed,online,2,12:55pm,completed,5451,CUST1131,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/110650
289,SPOT ON Shyam Palace Near Gurudwara Shri Bangla Sahib,"Near R K Ashram Metro Station, Pahar Ganj, Delhi",1817,65%,9,4,110841,XYZ4589,confirmed,online,2,1:21pm,completed,5215,CUST1066,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/110841
290,Capital O Hotel Sunberry,"New Delhi, Delhi",859,71%,62,3,110846,XYZ4590,confirmed,online,2,12:22pm,completed,3522,CUST1262,Excellent location and friendly staff.,https://www.oyorooms.com/110846
291,OYO 80168 Green Villa,"Near KOSMOS Hospital, Anand Vihar, Delhi C-61 Above SBI Bank",1049,65%,123,5,110880,XYZ4591,confirmed,online,2,1:50pm,completed,4500,CUST1403,"Poor service, not worth the price.",https://www.oyorooms.com/110880
292,Flagship 18618 Ocean Blue Residency Near V3S Mall," A-14 Pridarshni Vihar Laxminagar, Delhi",626,73%,1,4,110971,XYZ4592,confirmed,online,2,12:00pm,completed,4500,CUST1295,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/110971
293,OYO Flagship 80919 Hotel Vinayaka Inn Near Gurudwara Shri Bangla Sahib,", Delhi",1692,66%,3577,3,110992,XYZ4593,confirmed,online,2,2:30pm,completed,5000,CUST1364,Check-in process was slow and frustrating.,https://www.oyorooms.com/110992
294,Flagship Hotel City Heart,"Paharganj , Delhi",949,64%,138,2,111016,XYZ4594,confirmed,online,2,12:00pm,completed,4500,CUST1197,Excellent location and friendly staff.,https://www.oyorooms.com/111016
295,OYO TOWNHOUSE  R K Residency Near Mother dairy gate no. 2,"Flat No 3 Near Fair Deal South Ganesh Nagar, Delhi",1820,65%,115,4,111035,XYZ4595,confirmed,online,2,5:50pm,completed,4500,CUST1430,"Average experience, nothing special.",https://www.oyorooms.com/111035
296,Collection O Dayz Inn Deluxe Near Satyam Inox Patel Nagar,"B Block Lawrence Road Industrial Area Near Keshavpuram Fire Station Delhi 110035, Delhi",449,86%,270,5,111041,XYZ4596,confirmed,online,2,4:50pm,completed,4500,CUST1021,"Average experience, nothing special.",https://www.oyorooms.com/111041
297,OYO Flagship 80818 Hotel Metro Inn Near Gurudwara Shri Bangla Sahib,"Aram Bagh Paharganj Delhi, Delhi",1045,67%,2846,2,111168,XYZ4597,confirmed,online,2,5:50pm,completed,4500,CUST1192,Very affordable with good facilities.,https://www.oyorooms.com/111168
